City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2020-12-22 17:12:47,71.29,-156.79,-18.4,68,1,19.46
1,Linfen,CN,2020-12-22 17:12:47,36.09,111.52,35.56,70,99,3.62
2,High Level,CA,2020-12-22 17:11:16,58.52,-117.14,-11.2,76,90,2.24
3,Punta Arenas,CL,2020-12-22 17:12:48,-53.15,-70.92,53.6,50,75,23.04
4,Bredasdorp,ZA,2020-12-22 17:12:48,-34.53,20.04,71.6,73,94,11.41
5,Coquimbo,CL,2020-12-22 17:12:48,-29.95,-71.34,59.0,77,90,8.05
6,Luderitz,NA,2020-12-22 17:12:48,-26.65,15.16,73.4,69,5,16.11
7,Kodiak,US,2020-12-22 17:12:49,57.79,-152.41,42.8,81,75,13.29
8,Gonaives,HT,2020-12-22 17:12:49,19.45,-72.68,84.88,55,0,3.85
9,Oranjemund,NA,2020-12-22 17:12:49,-28.55,16.43,66.38,83,32,10.49
10,Yellowknife,CA,2020-12-22 17:12:49,62.46,-114.35,-18.4,75,90,3.36
11,Rikitea,PF,2020-12-22 17:12:49,-23.12,-134.97,75.94,74,64,11.68
12,Qaanaaq,GL,2020-12-22 17:12:50,77.48,-69.36,1.2,75,41,4.52
13,Yulara,AU,2020-12-22 17:12:50,-25.24,130.99,69.8,37,82,9.17
14,Albany,US,2020-12-22 17:12:50,42.6,-73.97,39.99,62,87,11.18
15,Halifax,CA,2020-12-22 17:09:03,44.65,-63.57,39.0,93,99,13.87
16,Atuona,PF,2020-12-22 17:12:51,-9.8,-139.03,78.3,78,30,14.18
17,Mar Del Plata,AR,2020-12-22 17:12:51,-38.0,-57.56,87.8,33,20,9.17
18,Grindavik,IS,2020-12-22 17:12:51,63.84,-22.43,28.4,74,0,3.36
19,Castro,BR,2020-12-22 17:10:01,-24.79,-50.01,72.86,85,70,4.32
20,Raga,SS,2020-12-22 17:12:51,8.46,25.68,82.62,24,93,4.23
21,Mataura,NZ,2020-12-22 17:12:52,-46.19,168.86,55.99,96,100,1.01
22,Ushuaia,AR,2020-12-22 17:10:27,-54.8,-68.3,50.0,61,75,23.04
23,Makakilo City,US,2020-12-22 17:11:09,21.35,-158.09,69.8,88,1,3.36
24,Nikolskoye,RU,2020-12-22 17:12:52,59.7,30.79,33.8,98,90,6.71
25,Chirongui,YT,2020-12-22 17:12:52,-12.93,45.15,82.4,74,40,3.36
26,Airai,TL,2020-12-22 17:12:53,-8.93,125.41,61.39,100,100,3.13
27,Port Alfred,ZA,2020-12-22 17:12:53,-33.59,26.89,72.0,91,61,4.0
28,Torbay,CA,2020-12-22 17:10:07,47.67,-52.73,48.99,100,90,32.21
29,Killarney,IE,2020-12-22 17:12:53,52.05,-9.52,36.64,93,100,9.37
30,Geraldton,AU,2020-12-22 17:12:53,-28.77,114.6,82.4,24,0,11.41
31,Kapaa,US,2020-12-22 17:12:54,22.08,-159.32,68.0,94,1,8.05
32,Deep River,CA,2020-12-22 17:12:54,46.1,-77.5,28.4,79,90,14.99
33,Cape Town,ZA,2020-12-22 17:11:55,-33.93,18.42,73.0,83,75,20.8
34,Cam Ranh,VN,2020-12-22 17:12:54,11.92,109.16,75.2,94,75,13.87
35,San Benito,US,2020-12-22 17:12:54,36.62,-121.08,48.0,93,75,6.93
36,Bluff,NZ,2020-12-22 17:12:55,-46.6,168.33,55.99,96,100,1.01
37,Longyearbyen,SJ,2020-12-22 17:12:55,78.22,15.64,24.8,73,40,49.44
38,Pevek,RU,2020-12-22 17:12:55,69.7,170.31,-9.98,88,98,10.49
39,Hobart,AU,2020-12-22 17:12:55,-42.88,147.33,59.0,93,90,8.05
40,Rosarito,MX,2020-12-22 17:12:55,32.33,-117.03,53.6,87,40,5.82
41,Rio Gallegos,AR,2020-12-22 17:11:23,-51.62,-69.22,64.4,31,40,26.4
42,Avarua,CK,2020-12-22 17:12:56,-21.21,-159.78,73.4,88,79,1.12
43,Dikson,RU,2020-12-22 17:12:56,73.51,80.55,-22.61,88,75,9.86
44,Oxford,GB,2020-12-22 17:09:10,51.75,-1.26,46.4,87,90,5.82
45,Boa Vista,BR,2020-12-22 17:12:56,2.82,-60.67,91.4,46,75,9.17
46,Zyryanka,RU,2020-12-22 17:12:57,65.75,150.85,-27.76,85,100,5.88
47,Port Lincoln,AU,2020-12-22 17:12:57,-34.73,135.87,56.08,73,16,9.69
48,Mae Sai,TH,2020-12-22 17:12:57,20.43,99.88,54.0,100,0,3.36
49,Ancud,CL,2020-12-22 17:12:57,-41.87,-73.82,63.0,77,75,13.87
50,Cedar Lake,US,2020-12-22 17:12:57,41.36,-87.44,39.0,78,5,5.01
51,Opuwo,NA,2020-12-22 17:12:58,-18.06,13.84,83.17,26,65,14.52
52,Upernavik,GL,2020-12-22 17:12:58,72.79,-56.15,22.78,85,100,5.99
53,Bengkulu,ID,2020-12-22 17:12:58,-3.8,102.27,76.68,81,72,4.72
54,Arraial Do Cabo,BR,2020-12-22 17:12:58,-22.97,-42.03,84.2,78,75,11.41
55,New Norfolk,AU,2020-12-22 17:12:59,-42.78,147.06,59.0,77,82,1.01
56,Port Moresby,PG,2020-12-22 17:11:51,-9.44,147.18,75.2,100,40,9.17
57,Vaini,TO,2020-12-22 17:12:59,-21.2,-175.2,75.2,100,20,4.61
58,Hilo,US,2020-12-22 17:12:59,19.73,-155.09,69.8,77,90,6.93
59,Grand Gaube,MU,2020-12-22 17:12:59,-20.01,57.66,78.01,81,16,10.0
60,Vardo,NO,2020-12-22 17:13:00,70.37,31.11,32.0,88,40,18.34
61,Port Hardy,CA,2020-12-22 17:10:40,50.7,-127.42,41.0,93,40,4.7
