City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,77.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
8,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Rikitea,PF,77.83,scattered clouds,-23.12,-134.97,Pension Maro'i
17,Cabo San Lucas,MX,82.99,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
18,Puerto Ayora,EC,75.99,light intensity drizzle,-0.74,-90.35,Finch Bay Galapagos Hotel
20,Kudahuvadhoo,MV,81.0,light rain,2.67,72.89,Kudahuvadhoo Retreat
23,Srivardhan,IN,73.87,few clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
25,Hithadhoo,MV,81.86,clear sky,-0.6,73.08,Scoop Guest House
26,Tahoua,NE,72.81,clear sky,14.89,5.27,Bungalows Guesthouse
30,Betare Oya,CM,76.93,broken clouds,5.6,14.08,Auberge Tembina Betaré Oya
32,San Cristobal,VE,75.2,light rain,7.77,-72.22,Pirineos
34,Veraval,IN,70.68,clear sky,20.9,70.37,Lords Inn Somnath
35,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
38,Namatanai,PG,80.62,light rain,-3.67,152.43,Namatanai Hotel
40,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
41,Arraial Do Cabo,BR,75.2,light rain,-22.97,-42.03,Pousada Porto Praia
43,Ariquemes,BR,82.51,moderate rain,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
45,Moroni,KM,80.89,light rain,-11.7,43.26,Hotel les Arcades
46,Mamallapuram,IN,73.4,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
47,Ugoofaaru,MV,81.48,light rain,5.67,73.0,Ungoofaaru Inn
53,Saint-Philippe,RE,77.0,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
55,Bambous Virieux,MU,79.0,shower rain,-20.34,57.76,Casa Tia Villa
56,Chuy,UY,74.71,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
58,Atuona,PF,78.75,clear sky,-9.8,-139.03,Villa Enata
60,Butaritari,KI,80.02,overcast clouds,3.07,172.79,Isles Sunset Lodge
63,Majene,ID,77.99,overcast clouds,-3.54,118.97,Kost Putri RABBANI
64,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
66,Cidreira,BR,75.58,clear sky,-30.18,-50.21,Hotel Castelo
67,Biak,ID,78.85,light rain,-0.91,122.88,Penginapan Kim
69,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
73,Nacala,MZ,81.9,broken clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
76,Banda Aceh,ID,76.98,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
81,Sumbe,AO,76.75,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
89,Sao Gabriel Da Cachoeira,BR,80.6,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
91,Hilo,US,77.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
95,Bonthe,SL,80.22,broken clouds,7.53,-12.51,Bonthe Holiday Village
