City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lodja,CD,-3.48,23.43,70.97,88,1,1.48,clear sky
1,Bethel,US,41.37,-73.41,53.01,81,90,6.93,overcast clouds
2,Kapaa,US,22.08,-159.32,77.0,83,40,14.99,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,57.2,33,40,19.46,shower rain
4,Khatanga,RU,71.97,102.5,-23.76,85,100,10.96,overcast clouds
5,Evensk,RU,61.95,159.23,-30.57,70,0,7.43,clear sky
6,Tadine,NC,-21.55,167.88,77.7,72,100,5.7,overcast clouds
7,Ribeira Grande,PT,38.52,-28.7,55.4,76,40,16.11,scattered clouds
8,Vaini,TO,-21.2,-175.2,78.8,94,20,4.7,few clouds
9,Cape Town,ZA,-33.93,18.42,69.01,77,0,6.93,clear sky
10,Rikitea,PF,-23.12,-134.97,77.83,72,30,11.3,scattered clouds
11,Bar Harbor,US,44.39,-68.2,48.2,70,1,18.34,clear sky
12,Mataura,NZ,-46.19,168.86,54.0,75,0,4.0,clear sky
13,Punta Arenas,CL,-53.15,-70.92,55.4,53,75,41.38,light rain
14,Lake Charles,US,30.21,-93.2,51.8,23,5,23.04,clear sky
15,East London,ZA,-33.02,27.91,67.55,67,87,1.14,overcast clouds
16,Saint Anthony,US,45.02,-93.22,7.0,55,1,13.87,clear sky
17,Cabo San Lucas,MX,22.89,-109.91,82.99,61,75,5.82,broken clouds
18,Puerto Ayora,EC,-0.74,-90.35,75.99,88,75,6.93,light intensity drizzle
19,Yellowknife,CA,62.46,-114.35,0.0,84,90,11.41,light snow
20,Kudahuvadhoo,MV,2.67,72.89,81.0,74,57,5.32,light rain
21,Katangli,RU,51.71,143.23,-10.07,84,0,5.35,clear sky
22,Busselton,AU,-33.65,115.33,64.0,95,0,1.99,clear sky
23,Srivardhan,IN,18.03,73.02,73.87,57,12,4.34,few clouds
24,Dikson,RU,73.51,80.55,-13.63,88,97,11.12,overcast clouds
25,Hithadhoo,MV,-0.6,73.08,81.86,73,0,10.33,clear sky
26,Tahoua,NE,14.89,5.27,72.81,21,0,11.21,clear sky
27,Abu Dhabi,AE,24.47,54.37,68.0,64,0,3.36,clear sky
28,Paamiut,GL,61.99,-49.67,25.66,92,100,27.2,light snow
29,Sabha,LY,27.04,14.43,54.64,57,0,7.18,clear sky
30,Betare Oya,CM,5.6,14.08,76.93,29,77,2.42,broken clouds
31,El Paso,US,31.8,-106.2,46.0,15,75,4.7,broken clouds
32,San Cristobal,VE,7.77,-72.22,75.2,100,75,9.17,light rain
33,Lebu,CL,-37.62,-73.65,62.22,69,0,14.67,clear sky
34,Veraval,IN,20.9,70.37,70.68,41,0,9.24,clear sky
35,Carnarvon,AU,-24.87,113.63,75.2,100,40,13.87,scattered clouds
36,Jining,CN,35.41,116.58,31.51,78,0,5.59,clear sky
37,Sabinas,MX,27.85,-101.12,53.76,33,6,1.63,clear sky
38,Namatanai,PG,-3.67,152.43,80.62,78,98,3.89,light rain
