City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2020-12-20 05:21:02,-24.79,-50.01,65.68,88,100,3.06
1,Busselton,AU,2020-12-20 05:25:15,-33.65,115.33,79.0,44,0,5.01
2,Puerto Leguizamo,CO,2020-12-20 05:30:59,-0.19,-74.78,71.44,98,92,1.32
3,Rikitea,PF,2020-12-20 05:25:08,-23.12,-134.97,77.54,77,0,21.81
4,Port Blair,IN,2020-12-20 05:30:59,11.67,92.75,84.2,79,40,9.17
5,San Andres,CO,2020-12-20 05:25:42,12.58,-81.7,82.4,78,20,16.11
6,Sinnamary,GF,2020-12-20 05:31:00,5.38,-52.95,76.73,85,83,3.62
7,Qaanaaq,GL,2020-12-20 05:25:20,77.48,-69.36,-3.44,78,39,3.91
8,Ushuaia,AR,2020-12-20 05:21:26,-54.8,-68.3,46.4,87,75,5.82
9,San Cristobal,VE,2020-12-20 05:26:23,7.77,-72.22,63.84,89,48,1.72
10,Bluff,NZ,2020-12-20 05:25:18,-46.6,168.33,57.99,73,33,7.0
11,Esperance,AU,2020-12-20 05:25:20,-33.87,121.9,71.6,56,0,17.22
12,Cape Town,ZA,2020-12-20 05:22:12,-33.93,18.42,69.8,64,0,18.34
13,Labrea,BR,2020-12-20 05:31:02,-7.26,-64.8,73.13,98,72,2.59
14,Luderitz,NA,2020-12-20 05:26:03,-26.65,15.16,59.0,87,1,3.36
15,Grand Gaube,MU,2020-12-20 05:26:32,-20.01,57.66,82.99,71,1,10.0
16,Robertsport,LR,2020-12-20 05:28:45,6.75,-11.37,78.58,83,7,5.68
17,Cabo San Lucas,MX,2020-12-20 05:28:19,22.89,-109.91,64.0,70,5,4.0
18,Hambantota,LK,2020-12-20 05:28:28,6.12,81.12,82.4,88,40,11.41
19,Kavieng,PG,2020-12-20 05:26:30,-2.57,150.8,84.72,71,100,7.27
20,Kapaa,US,2020-12-20 05:25:08,22.08,-159.32,73.4,100,75,12.75
21,Yellowknife,CA,2020-12-20 05:25:05,62.46,-114.35,-27.0,74,5,3.36
22,Nokaneng,BW,2020-12-20 05:31:04,-19.67,22.27,76.35,72,97,13.47
23,Nome,US,2020-12-20 05:31:04,64.5,-165.41,-13.0,69,1,3.33
24,Norman Wells,CA,2020-12-20 05:26:06,65.28,-126.83,-38.2,65,40,4.7
25,Bambous Virieux,MU,2020-12-20 05:25:29,-20.34,57.76,82.99,78,75,11.41
26,Marzuq,YE,2020-12-20 05:31:05,14.4,46.47,68.58,60,3,3.13
27,Vardo,NO,2020-12-20 05:25:45,70.37,31.11,30.36,96,100,23.47
28,Thompson,CA,2020-12-20 05:25:21,55.74,-97.86,-7.6,69,90,12.75
29,Sao Gabriel Da Cachoeira,BR,2020-12-20 05:31:06,-0.13,-67.09,73.47,97,96,1.9
30,Hobart,AU,2020-12-20 05:25:03,-42.88,147.33,64.99,51,75,8.05
31,Srednekolymsk,RU,2020-12-20 05:25:34,67.45,153.68,-35.86,83,0,1.63
32,Moron,AR,2020-12-20 05:25:43,-34.65,-58.62,61.0,72,0,1.99
33,Jamestown,US,2020-12-20 05:25:14,42.1,-79.24,34.0,98,90,9.17
34,Lima,PE,2020-12-20 05:30:00,-12.04,-77.03,68.0,82,75,12.75
35,Ullapool,GB,2020-12-20 05:31:07,57.9,-5.16,46.0,64,92,11.99
36,Lebu,CL,2020-12-20 05:25:11,-37.62,-73.65,51.78,89,0,12.93
37,Punta Arenas,CL,2020-12-20 05:25:11,-53.15,-70.92,51.8,71,100,14.99
38,Biltine,TD,2020-12-20 05:31:08,14.53,20.92,65.75,27,11,10.29
39,Touros,BR,2020-12-20 05:29:08,-5.2,-35.46,75.2,83,20,3.36
40,Pardina,RO,2020-12-20 05:31:09,45.31,28.96,37.4,93,98,4.7
41,Victoria,HK,2020-12-20 05:25:44,22.29,114.16,63.0,57,87,1.99
42,Tiksi,RU,2020-12-20 05:26:32,71.69,128.87,-23.85,87,96,2.82
43,Cayenne,GF,2020-12-20 05:26:43,4.93,-52.33,75.2,100,100,2.24
44,Atuona,PF,2020-12-20 05:25:13,-9.8,-139.03,78.8,78,15,20.6
45,Blythe,US,2020-12-20 05:31:10,33.61,-114.6,48.2,26,1,6.93
46,Truth Or Consequences,US,2020-12-20 05:31:10,33.13,-107.25,37.99,44,1,4.7
47,Port Elizabeth,ZA,2020-12-20 05:25:09,-33.92,25.57,71.6,83,75,9.17
48,Dalvik,IS,2020-12-20 05:31:10,65.97,-18.53,32.0,93,90,25.28
49,Nikolskoye,RU,2020-12-20 05:25:31,59.7,30.79,39.2,93,75,6.71
50,Vaini,TO,2020-12-20 05:25:07,-21.2,-175.2,80.6,88,40,20.8
51,Georgetown,MY,2020-12-20 05:25:24,5.41,100.34,78.8,88,20,2.24
52,Alofi,NU,2020-12-20 05:26:49,-19.06,-169.92,77.0,94,100,5.82
53,Sao Joao Del Rei,BR,2020-12-20 05:31:12,-21.14,-44.26,64.92,91,75,2.59
54,Cherskiy,RU,2020-12-20 05:25:09,68.75,161.3,-29.06,85,5,1.36
55,Hithadhoo,MV,2020-12-20 05:25:17,-0.6,73.08,82.2,69,12,2.91
56,Fare,PF,2020-12-20 05:31:12,-16.7,-151.02,81.18,74,94,11.43
57,Kawalu,ID,2020-12-20 05:31:13,-7.38,108.21,83.37,65,89,6.13
58,Albany,US,2020-12-20 05:25:13,42.6,-73.97,23.0,75,100,3.09
59,Kruisfontein,ZA,2020-12-20 05:25:39,-34.0,24.73,69.01,94,77,1.99
60,East London,ZA,2020-12-20 05:26:02,-33.02,27.91,71.6,100,90,6.93
61,Iqaluit,CA,2020-12-20 05:25:50,63.75,-68.51,10.4,66,90,8.05
62,Tombouctou,ML,2020-12-20 05:30:24,20.0,-3.0,54.93,42,0,11.14
63,Kahului,US,2020-12-20 05:24:08,20.89,-156.47,77.0,65,1,16.11
64,Vestmanna,FO,2020-12-20 05:31:14,62.16,-7.17,41.0,100,100,5.82
65,Sao Felix Do Xingu,BR,2020-12-20 05:25:52,-6.64,-51.99,72.09,97,100,1.54
66,Turukhansk,RU,2020-12-20 05:30:05,65.82,87.98,-26.61,85,100,10.42
67,New Norfolk,AU,2020-12-20 05:25:05,-42.78,147.06,64.99,61,66,1.99
68,Port Lincoln,AU,2020-12-20 05:24:57,-34.73,135.87,68.13,51,0,10.69
69,Sitka,US,2020-12-20 05:23:20,57.05,-135.33,44.6,56,90,19.46
70,Gilgit,PK,2020-12-20 05:30:42,35.92,74.31,34.29,52,87,2.19
71,Ribeira Grande,PT,2020-12-20 05:25:23,38.52,-28.7,65.1,86,100,21.05
72,Barrow,US,2020-12-20 05:25:18,71.29,-156.79,-14.8,68,90,14.99
73,Puerto Ayora,EC,2020-12-20 05:25:25,-0.74,-90.35,71.01,95,66,4.88
74,Dudinka,RU,2020-12-20 05:30:29,69.41,86.18,-38.2,72,100,13.42
75,Brae,GB,2020-12-20 05:26:45,60.4,-1.35,48.2,76,36,21.92
76,Harlow,GB,2020-12-20 05:31:17,51.78,0.11,46.99,87,83,8.05
77,Coahuayana,MX,2020-12-20 05:27:42,18.73,-103.68,72.54,54,14,3.67
78,Port Hedland,AU,2020-12-20 05:29:22,-20.32,118.57,96.8,56,21,13.87
79,Ixtapa,MX,2020-12-20 05:30:37,20.7,-105.2,68.0,93,44,1.74
80,Kodiak,US,2020-12-20 05:26:15,57.79,-152.41,19.4,92,1,8.05
81,Longyearbyen,SJ,2020-12-20 05:21:39,78.22,15.64,3.2,59,0,23.04
82,Bredasdorp,ZA,2020-12-20 05:25:29,-34.53,20.04,64.4,93,35,2.24
83,Fortuna,US,2020-12-20 05:26:36,40.6,-124.16,55.0,100,90,2.75
84,Karratha,AU,2020-12-20 05:25:45,-20.74,116.85,104.41,21,100,5.55
85,Matara,LK,2020-12-20 05:31:19,5.95,80.54,86.47,64,86,13.69
86,Berlevag,NO,2020-12-20 05:26:33,70.86,29.09,30.34,95,100,28.27
87,Alyangula,AU,2020-12-20 05:27:58,-13.85,136.42,91.4,55,40,4.7
88,Shangrao,CN,2020-12-20 05:31:20,28.45,117.97,49.73,52,2,4.99
89,Solnice,CZ,2020-12-20 05:31:20,50.2,16.24,36.0,90,94,4.92
90,Chokurdakh,RU,2020-12-20 05:25:48,70.63,147.92,-15.54,89,75,10.54
91,Port Alfred,ZA,2020-12-20 05:25:22,-33.59,26.89,73.99,93,47,13.91
92,Mataura,NZ,2020-12-20 05:25:04,-46.19,168.86,57.99,73,91,7.0
93,Anlu,CN,2020-12-20 05:31:21,31.17,112.58,50.5,42,0,6.22
94,Coquimbo,CL,2020-12-20 05:24:52,-29.95,-71.34,55.4,93,0,3.36
95,Beringovskiy,RU,2020-12-20 05:26:51,63.05,179.32,-1.48,92,100,14.63
96,Mayo,US,2020-12-20 05:25:46,38.89,-76.51,35.6,93,20,8.05
97,Honiara,SB,2020-12-20 05:29:50,-9.43,159.95,89.6,62,40,6.93
98,Chumikan,RU,2020-12-20 05:25:11,54.72,135.31,-11.36,78,0,25.88
99,Hilo,US,2020-12-20 05:25:19,19.73,-155.09,73.4,88,90,5.82
100,Seoul,KR,2020-12-20 05:28:26,37.57,126.98,33.8,86,1,4.18
101,Imbituba,BR,2020-12-20 05:31:23,-28.24,-48.67,75.2,88,20,18.34
102,Yarada,IN,2020-12-20 05:31:24,17.65,83.27,78.8,47,20,9.17
103,Sur,OM,2020-12-20 05:23:12,22.57,59.53,73.04,52,0,6.42
104,Kapit,MY,2020-12-20 05:27:51,2.02,112.93,87.37,61,100,2.95
105,Ponta Do Sol,PT,2020-12-20 05:26:04,32.67,-17.1,59.0,77,20,2.24
106,Kamenka,RU,2020-12-20 05:25:34,51.32,42.77,18.0,92,96,8.68
107,Peniche,PT,2020-12-20 05:29:57,39.36,-9.38,50.0,92,24,2.04
108,Lorengau,PG,2020-12-20 05:25:26,-2.02,147.27,85.37,69,100,4.32
109,Dikson,RU,2020-12-20 05:25:27,73.51,80.55,-24.09,88,89,7.67
110,Santa Cruz De La Palma,ES,2020-12-20 05:31:25,28.68,-17.76,66.2,77,75,3.36
111,Saint-Jean-Port-Joli,CA,2020-12-20 05:31:26,47.22,-70.27,21.0,67,98,3.36
112,Neiafu,TO,2020-12-20 05:31:26,-18.65,-173.98,78.8,88,75,13.87
113,Jinchang,CN,2020-12-20 05:26:46,38.5,102.17,27.27,73,0,0.98
114,Sergeyevka,KZ,2020-12-20 05:31:26,53.88,67.42,-9.09,90,72,7.07
115,Solano,US,2020-12-20 05:31:27,38.23,-121.95,48.99,80,1,1.72
116,Sangmelima,CM,2020-12-20 05:31:27,2.93,11.98,69.33,91,57,3.09
117,Hasaki,JP,2020-12-20 05:25:36,35.73,140.83,48.0,26,20,17.22
118,Grand-Lahou,CI,2020-12-20 05:31:27,5.14,-5.02,78.33,87,58,8.68
119,Skovby,DK,2020-12-20 05:31:28,56.15,9.96,44.01,94,88,1.99
120,Pevek,RU,2020-12-20 05:25:31,69.7,170.31,-1.1,90,0,3.89
121,Husavik,IS,2020-12-20 05:25:37,66.04,-17.34,32.0,92,90,25.28
122,Standerton,ZA,2020-12-20 05:31:28,-26.93,29.24,75.15,52,0,1.97
123,Torbay,CA,2020-12-20 05:26:30,47.67,-52.73,28.99,92,90,11.41
124,Stornoway,GB,2020-12-20 05:31:29,58.21,-6.39,44.6,87,86,20.8
125,Nanga Eboko,CM,2020-12-20 05:31:29,4.68,12.37,69.84,93,38,0.67
126,Sillod,IN,2020-12-20 05:31:30,20.3,75.65,75.2,47,79,2.24
127,Bengkulu,ID,2020-12-20 05:25:49,-3.8,102.27,83.91,61,95,6.96
128,Tisovec,SK,2020-12-20 05:31:30,48.68,19.94,33.01,92,90,5.82
129,Lasa,IT,2020-12-20 05:31:30,46.62,10.7,23.0,92,5,3.36
130,Cartagena Del Chaira,CO,2020-12-20 05:31:30,1.33,-74.84,70.39,97,9,2.1
131,Pelhrimov,CZ,2020-12-20 05:31:31,49.43,15.22,32.0,94,100,8.84
132,Dingle,PH,2020-12-20 05:25:57,11.0,122.67,84.88,80,61,7.16
133,Saldanha,ZA,2020-12-20 05:25:36,-33.01,17.94,62.6,72,0,4.7
134,Half Moon Bay,US,2020-12-20 05:29:30,37.46,-122.43,50.0,70,1,5.82
135,Anadyr,RU,2020-12-20 05:25:45,64.75,177.48,-0.4,77,75,8.95
136,Vanavara,RU,2020-12-20 05:27:59,60.34,102.28,-0.8,90,95,9.31
137,Codrington,AU,2020-12-20 05:25:35,-38.27,141.97,60.98,58,1,14.05
138,Altay,CN,2020-12-20 05:26:38,47.87,88.12,18.39,76,89,0.83
139,Tasiilaq,GL,2020-12-20 05:25:40,65.61,-37.64,19.4,62,86,6.58
140,Avarua,CK,2020-12-20 05:25:35,-21.21,-159.78,77.0,69,100,3.36
141,Saint-Philippe,RE,2020-12-20 05:25:54,-21.36,55.77,82.4,69,0,5.82
142,Severo-Kurilsk,RU,2020-12-20 05:25:31,50.68,156.12,28.9,93,65,10.33
143,Hermanus,ZA,2020-12-20 05:25:28,-34.42,19.23,69.01,81,61,5.99
144,Mantua,IT,2020-12-20 05:27:36,45.17,10.78,45.0,98,100,3.71
145,Adrar,MR,2020-12-20 05:27:07,20.5,-10.07,54.73,41,0,9.73
146,Makakilo City,US,2020-12-20 05:30:01,21.35,-158.09,78.8,69,1,4.7
147,Mar Del Plata,AR,2020-12-20 05:21:32,-38.0,-57.56,57.99,87,90,14.99
148,Flinders,AU,2020-12-20 05:26:52,-34.58,150.86,72.0,79,86,7.0
149,Lompoc,US,2020-12-20 05:21:39,34.64,-120.46,46.4,86,1,4.7
150,Dali,CN,2020-12-20 05:31:35,25.7,100.18,58.55,35,0,3.0
151,Guerrero Negro,MX,2020-12-20 05:26:22,27.98,-114.06,57.47,42,57,6.08
152,Bairiki,KI,2020-12-20 05:29:52,1.33,172.98,86.0,70,20,11.41
153,Pontes E Lacerda,BR,2020-12-20 05:31:36,-15.23,-59.34,74.1,86,67,1.95
154,Salalah,OM,2020-12-20 05:24:49,17.02,54.09,75.2,57,75,9.17
155,Muros,ES,2020-12-20 05:31:36,42.78,-9.06,55.0,95,98,10.63
156,Milkovo,RU,2020-12-20 05:31:37,54.72,158.62,2.05,93,97,2.26
157,Pithapuram,IN,2020-12-20 05:31:37,17.12,82.27,78.8,69,36,8.05
158,Pau Brasil,BR,2020-12-20 05:31:37,-15.46,-39.65,70.93,97,99,1.59
159,Joshimath,IN,2020-12-20 05:31:37,30.57,79.57,59.07,23,19,4.34
160,Blyznyuky,UA,2020-12-20 05:31:38,48.86,36.56,28.27,97,95,6.53
161,Plettenberg Bay,ZA,2020-12-20 05:31:38,-34.05,23.37,69.57,82,44,10.65
162,Dimona,IL,2020-12-20 05:31:38,31.07,35.03,55.44,56,0,3.6
163,Clyde River,CA,2020-12-20 05:26:26,70.47,-68.59,-0.4,84,90,4.7
164,Vestmannaeyjar,IS,2020-12-20 05:26:49,63.44,-20.27,37.08,77,83,20.11
165,Cockburn Town,TC,2020-12-20 05:26:29,21.46,-71.14,77.95,79,2,19.35
166,Parabel,RU,2020-12-20 05:31:39,58.7,81.48,-16.92,88,0,3.74
167,Shorapur,IN,2020-12-20 05:31:40,16.52,76.75,78.78,39,14,12.88
168,Pisco,PE,2020-12-20 05:25:23,-13.7,-76.22,66.99,82,0,10.29
169,Lloydminster,CA,2020-12-20 05:30:08,53.28,-110.0,24.8,73,75,10.29
170,Constitucion,CL,2020-12-20 05:29:29,-35.33,-72.42,53.74,77,46,7.58
171,Winchester,GB,2020-12-20 05:31:41,51.07,-1.32,45.0,87,61,9.17
172,Boa Vista,BR,2020-12-20 05:20:57,2.82,-60.67,80.6,69,0,8.05
173,Fernie,CA,2020-12-20 05:27:59,49.5,-115.07,32.0,93,100,12.75
174,Beloha,MG,2020-12-20 05:31:42,-25.17,45.05,91.87,34,1,4.9
175,Filadelfia,US,2020-12-20 05:28:04,39.95,-75.16,30.99,63,75,3.36
176,Haines Junction,CA,2020-12-20 05:25:42,60.75,-137.51,5.76,90,100,2.71
177,Barma,SL,2020-12-20 05:31:43,8.35,-11.33,70.97,94,24,1.39
178,Ancud,CL,2020-12-20 05:25:15,-41.87,-73.82,46.99,93,0,3.36
